11:54:15.133 0 zb_ib.c:115	aps_channel_mask 0x1800
11:54:15.133 0 mac.c:76	>>mac_init
11:54:15.133 0 mac.c:137	zb_get_out_buf: zb_mac_init
11:54:15.133 0 zb_bufpool.c:141	=================
11:54:15.133 0 zb_bufpool.c:142	GET BUF 0x5575685f7990
11:54:15.133 0 zb_bufpool.c:143	ref 0
11:54:15.133 0 zb_bufpool.c:144	allocated 0: 1
11:54:15.133 0 zb_bufpool.c:145	allocated 1: 0
11:54:15.134 0 zb_bufpool.c:146	=================
11:54:15.134 0 mac.c:139	zb_get_in_buf: zb_mac_init
11:54:15.134 0 zb_bufpool.c:141	=================
11:54:15.134 0 zb_bufpool.c:142	GET BUF 0x5575685f7a30
11:54:15.134 0 zb_bufpool.c:143	ref 1
11:54:15.134 0 zb_bufpool.c:144	allocated 0: 1
11:54:15.134 0 zb_bufpool.c:145	allocated 1: 1
11:54:15.134 0 zb_bufpool.c:146	=================
11:54:15.134 0 mac.c:142	zb_get_in_buf: zb_mac_init
11:54:15.134 0 zb_bufpool.c:141	=================
11:54:15.134 0 zb_bufpool.c:142	GET BUF 0x5575685f7ad0
11:54:15.134 0 zb_bufpool.c:143	ref 2
11:54:15.134 0 zb_bufpool.c:144	allocated 0: 2
11:54:15.134 0 zb_bufpool.c:145	allocated 1: 1
11:54:15.134 0 zb_bufpool.c:146	=================
11:54:15.134 0 mac.c:166	<<mac_init
11:54:15.134 0 nwk_main.c:93	+nwk_init
11:54:15.134 0 nwk_main.c:115	>>nib_init
11:54:15.134 0 nwk_main.c:128	<<nib_init
11:54:15.134 0 nwk_neighbor.c:67	nb_init
11:54:15.134 0 nwk_cr_mesh_routing.c:139	>> mesh_r_init
11:54:15.134 0 zb_scheduler.c:283	tm_freelist, get nent 0x5575685f7728
11:54:15.134 0 zb_scheduler.c:294	0x5575685f7728 scheduled alarm 0x5575683d1619, run_after 130, at 130, param 0
11:54:15.134 0 zb_scheduler.c:349	cur t 0, head t 130
11:54:15.134 0 nwk_cr_mesh_routing.c:143	schd r disc expiry f 0
11:54:15.134 0 zb_scheduler.c:283	tm_freelist, get nent 0x5575685f7708
11:54:15.134 0 zb_scheduler.c:294	0x5575685f7708 scheduled alarm 0x5575683d1950, run_after 325, at 325, param 0
11:54:15.134 0 zb_scheduler.c:349	cur t 0, head t 130
11:54:15.134 0 nwk_cr_mesh_routing.c:147	schd pend expiry f 0
11:54:15.134 0 nwk_cr_mesh_routing.c:149	<< mesh_r_init
11:54:15.134 0 nwk_main.c:110	-nwk_init
11:54:15.134 0 aps_main.c:94	+zb_aps_init
11:54:15.134 0 aps_main.c:109	-zb_aps_init
11:54:15.134 0 af_descriptor.c:243	zb_set_default_ffd_descriptor_values
11:54:15.134 0 af_descriptor.c:85	node desc, server_mask 41 mac cap 0xa
11:54:15.134 0 af_descriptor.c:160	cluster_id 0x8000, cluster_number 0, input count 7
11:54:15.134 0 af_descriptor.c:160	cluster_id 0x8001, cluster_number 1, input count 7
11:54:15.134 0 af_descriptor.c:160	cluster_id 0x8002, cluster_number 2, input count 7
11:54:15.134 0 af_descriptor.c:160	cluster_id 0x8003, cluster_number 3, input count 7
11:54:15.134 0 af_descriptor.c:160	cluster_id 0x8004, cluster_number 4, input count 7
11:54:15.134 0 af_descriptor.c:160	cluster_id 0x8005, cluster_number 5, input count 7
11:54:15.134 0 af_descriptor.c:160	cluster_id 0x8006, cluster_number 6, input count 7
11:54:15.134 0 af_descriptor.c:174	cluster_id 0x0, cluster_number 0, output count 8
11:54:15.134 0 af_descriptor.c:174	cluster_id 0x1, cluster_number 1, output count 8
11:54:15.134 0 af_descriptor.c:174	cluster_id 0x2, cluster_number 2, output count 8
11:54:15.134 0 af_descriptor.c:174	cluster_id 0x3, cluster_number 3, output count 8
11:54:15.135 0 af_descriptor.c:174	cluster_id 0x4, cluster_number 4, output count 8
11:54:15.135 0 af_descriptor.c:174	cluster_id 0x5, cluster_number 5, output count 8
11:54:15.135 0 af_descriptor.c:174	cluster_id 0x6, cluster_number 6, output count 8
11:54:15.135 0 af_descriptor.c:174	cluster_id 0x13, cluster_number 7, output count 8
11:54:15.135 0 zdo_app.c:131	ext pan id 0 - startup
11:54:15.135 0 zb_bufpool.c:141	=================
11:54:15.135 0 zb_bufpool.c:142	GET BUF 0x5575685f7b70
11:54:15.135 0 zb_bufpool.c:143	ref 3
11:54:15.135 0 zb_bufpool.c:144	allocated 0: 3
11:54:15.135 0 zb_bufpool.c:145	allocated 1: 1
11:54:15.135 0 zb_bufpool.c:146	=================
11:54:15.135 0 zdo_app.c:181	disc, then join by assoc
11:54:15.135 0 zb_scheduler.c:254	0x5575685f73e0 scheduled cb 0x5575683c79cb param 3 (in_b 0)
11:54:15.135 0 zdo_app.c:199	return now
11:54:15.135 0 zb_scheduler.c:105	cb_q written 1, read_i 0, write_i 1
11:54:15.135 0 zb_scheduler.c:115	0x5575685f73e0 calling cb 0x5575683c79cb param 3 in_b 0 len 0
11:54:15.135 0 nwk_discovery.c:65	>>zb_nlme_network_discovery_request 0x5575685f7c07
11:54:15.135 0 nwk_neighbor.c:80	>>exnb_start
11:54:15.135 0 nwk_neighbor.c:131	cut 16
11:54:15.135 0 nwk_neighbor.c:146	new base n size 16
11:54:15.135 0 nwk_neighbor.c:155	cut 208, off 208, ext n size 14 ext n 0x5575685f88a8
11:54:15.135 0 nwk_neighbor.c:159	<<exnb_start
11:54:15.135 0 nwk_discovery.c:99	scan channels 0x1800 scan_duration 8
11:54:15.135 0 zb_scheduler.c:254	0x5575685f73f0 scheduled cb 0x5575683e634a param 3 (in_b 0)
11:54:15.135 0 nwk_discovery.c:112	<<zb_nlme_network_discovery_request
11:54:15.135 0 zb_scheduler.c:105	cb_q written 1, read_i 1, write_i 2
11:54:15.135 0 zb_scheduler.c:115	0x5575685f73f0 calling cb 0x5575683e634a param 3 in_b 0 len 0
11:54:15.135 0 mac_scan.c:104	>> zb_mlme_scan_request 3
11:54:15.135 0 zb_scheduler.c:254	0x5575685f7400 scheduled cb 0x5575683e6226 param 3 (in_b 0)
11:54:15.135 0 mac_scan.c:136	<< zb_mlme_scan_request
11:54:15.135 0 zb_scheduler.c:105	cb_q written 1, read_i 2, write_i 3
11:54:15.135 0 zb_scheduler.c:115	0x5575685f7400 calling cb 0x5575683e6226 param 3 in_b 0 len 0
11:54:15.135 0 mac_scan.c:67	>> zb_handle_scan_request
11:54:15.135 0 mac_scan.c:360	>> zb_mlme_active_scan
11:54:15.135 0 mac_scan.c:365	idle state, set beacon found == 0
11:54:15.135 0 mac_scan.c:372	set beacon mode ret 0, param channels 0x1800
11:54:15.135 0 mac_scan.c:385	chan mask 1800 0 , chan 11
11:54:15.135 0 zb_scheduler.c:254	0x5575685f7410 scheduled cb 0x5575683e6692 param 0 (in_b 255)
11:54:15.135 0 mac_scan.c:387	<< zb_mlme_active_scan, ret 0
11:54:15.135 0 mac_scan.c:92	<< zb_handle_scan_request i
11:54:15.135 0 zb_scheduler.c:105	cb_q written 1, read_i 3, write_i 4
11:54:15.135 0 zb_scheduler.c:115	0x5575685f7410 calling cb 0x5575683e6692 param 0 in_b 255 len -1
11:54:15.135 0 mac_scan.c:208	>> zb_mlme_scan_step
11:54:15.135 0 mac_scan.c:257	set channel 11
11:54:15.135 0 mac_routines.c:225	+zb_beacon_request_command
11:54:15.135 0 mac.c:578	>>mac_fill_mhr
11:54:15.135 0 mac.c:629	<<mac_fill_mhr
11:54:15.136 0 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x5575685f7990
11:54:15.136 0 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #1 buf 0x5575685f7990 / 0 in_b 0 (size 11) is_w 1
11:54:15.136 0 zb_mac_transport_linux_pipes.c:182	t: start 1558169655; t 1558169655 136142, time 8
11:54:15.136 0 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
11:54:15.136 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
11:54:15.136 0 zb_mac_transport_linux_pipes.c:381	open wpipe /tmp/zt1.read. wait if nessesary
11:54:15.142 0 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
11:54:15.142 0 zb_mac_transport_linux_pipes.c:93	0B 03 08 59 FF FF FF FF 07 2A 4C 
11:54:15.142 0 zb_mac_transport_linux_pipes.c:446	out buffer is sent
11:54:15.142 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
